,Pickups,MedianIncome,TotalPopulation,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit,Trip_Miles,Trip_Seconds,cluster
462,5234,96324,1752,43.83618677,17.31429295,0.193910256,1.034379671,264.2,4.748146732900268,1033.721245701185,0
463,5212,31204,4402,56.40010433,5.092201481,0.470899471,0.344452262,297.2833333,6.347505755947812,1131.095165003837,0
464,5203,32163,2343,13.06686552,1.574194748,0.24691358,0.403037467,221.73,6.342533153949644,1015.5112435133576,0
465,5198,92656,2925,20.33842376,3.255895669,0.451325587,0.523086296,315.16,5.445171219699884,1127.642939592151,0
466,5096,61386,5174,45.03971922,2.235343158,0.233304898,0.17918646,245.4225,6.3598901098901095,1124.453885400314,0
467,5094,32083,1478,19.46290802,0.632083616,0.53149329,0.079470199,140.82,6.375441696113074,947.1588142913232,0
468,4992,79773,4236,30.44552096,1.236866823,0.322448326,0.13213807,222.18,6.385857371794872,1112.281450320513,0
469,4989,41875,2203,26.46055022,11.16153307,0.394678492,1.504882424,282.98,5.9853477650831834,1040.810382842253,0
470,4929,28750,10317,23.14048489,6.286980628,0.085057123,9.501694915,537.79,8.583505782105904,1297.0405761817813,2
471,4872,29980,3483,21.15503852,0.350680673,0.472041118,0.050376406,466.3725,8.096243842364533,1224.0147783251232,2
472,4751,54179,5608,40.98209285,3.549712318,0.044050031,0.47221072,236.4833333,5.739528520311513,1185.1525994527467,0
473,4748,44802,6238,42.29603634,0.816079147,0.145520187,0.116943509,426.92,6.652169334456613,1129.7733782645323,2
474,4740,61406,2149,40.65921279,3.311010814,0.236205955,0.286415712,202.51,4.84204641350211,1027.5542194092827,0
475,4720,98207,4067,13.96589257,1.900089974,0.39817909,0.440675359,353.0475,8.111567796610169,1096.0705508474575,2
476,4676,79722,6643,18.12376779,0.734982643,0.349236641,0.188776317,364.445,7.854619332763045,1301.0483319076134,2
477,4649,113080,5696,12.5999332,3.621320316,0.310325416,0.64853848,586.338,6.526113142611314,951.0727038072704,2
478,4638,68056,2500,19.00752119,7.336903178,0.077788706,1.263089005,254.81,5.303751617076326,1015.9510564898663,0
479,4597,81410,3474,21.61393977,9.934822425,0.180308945,1.314177951,260.6233333,6.904394170110942,1345.4394170110943,2
480,4580,42946,4959,11.95116694,2.834223264,0.043831755,2.687899636,257.4933333,7.945218340611353,1210.415283842795,2
481,4557,63587,7784,34.56758319,1.914128725,0.142653352,0.279740588,312.4816667,7.0184990125082285,1176.8661400043889,2
482,4539,85714,4197,25.69561577,1.74769622,0.236442516,0.197820325,206.195,6.6185944040537565,1214.743555849306,0
483,4508,67571,5253,12.46282586,2.908966976,0.034341218,4.734559583,271.24,9.541881100266194,1452.4234693877552,2
484,4483,93141,4127,41.52177797,4.114008269,0.055832734,0.329051031,344.2233333,6.377693508811064,1166.713807718046,2
485,4454,53273,7111,43.88183833,2.042703795,0.136957131,0.19108678,266.215,6.8012797485406375,1198.465424337674,2
486,4440,38989,4981,40.82339474,1.837292684,0.308930745,0.173185588,185.075,7.125743243243243,1109.9056306306306,0
487,4432,38750,1546,10.07964148,0.701846493,0.005474453,0.146870952,202.0633333,6.269268953068592,980.9023014440434,0
488,4426,79643,2577,18.33410997,2.281700709,0.109804283,0.404106678,398.985,5.979213737008585,963.0397650248532,2
489,4421,39175,1950,19.93432751,3.153221388,0.017865875,0.415156915,23.47,5.671771092513007,958.6663650757748,0
490,4420,51216,4712,26.09230316,3.242537147,0.307205194,0.386145203,265.2075,7.499728506787331,1172.330995475113,0
491,4405,58704,3374,23.64511741,0.483101953,0.217363344,0.052369636,459.6675,8.284449489216799,1232.1253121452894,2
492,4396,36221,6829,41.98554505,1.444879104,0.232495621,0.131825559,217.2625,7.068425841674249,1216.877161055505,0
493,4392,24395,1712,22.89362901,2.072729262,0.066520468,0.181924883,257.5,5.744057377049181,855.2495446265938,0
494,4387,67044,3208,8.018404006,0.966407753,0.325068871,0.40906779,441.8975,8.165716890813767,1109.246409847276,2
495,4378,86131,1488,49.4413071,1.000665913,0.043498527,0.065004072,275.6,6.468912745545912,999.6699406121515,0
496,4350,44323,5505,31.7168969,1.271341214,0.060590685,0.27917569,225.31,7.0120000000000005,1219.735632183908,2
497,4343,55308,5333,34.65682196,3.389356917,0.139403114,0.370917883,219.945,5.80112825236012,1168.1413769283904,0
